     1→     1→/**
     2→     2→ * Comprehensive NSE Stock Universe
     3→     3→ * 
     4→     4→ * Covers ~1800+ tradeable NSE stocks across all segments:
     5→     5→ * - Nifty 50 (all 50)
     6→     6→ * - Nifty 100 (additional 50)
     7→     7→ * - Nifty 200 / Nifty 500 top picks
     8→     8→ * - All F&O segment stocks (~185)
     9→     9→ * - Major mid-cap & small-cap (liquid)
    10→    10→ * 
    11→    11→ * Symbols are NSE standard. The data-provider.ts maps these to Yahoo Finance format.
    12→    12→ */
    13→    13→
    14→    14→export interface NSEStock {
    15→    15→  symbol: string;
    16→    16→  name: string;
    17→    17→  sector: string;
    18→    18→  category: 'NIFTY50' | 'NIFTY100' | 'FNO' | 'MIDCAP' | 'SMALLCAP';
    19→    19→}
    20→    20→
    21→    21→// ── NIFTY 50 (all 50 constituents) ──────────────────────
    22→    22→const NIFTY_50: NSEStock[] = [
    23→    23→  { symbol: 'RELIANCE', name: 'Reliance Industries', sector: 'Energy', category: 'NIFTY50' },
    24→    24→  { symbol: 'TCS', name: 'Tata Consultancy Services', sector: 'IT', category: 'NIFTY50' },
    25→    25→  { symbol: 'HDFCBANK', name: 'HDFC Bank', sector: 'Banking', category: 'NIFTY50' },
    26→    26→  { symbol: 'INFY', name: 'Infosys', sector: 'IT', category: 'NIFTY50' },
    27→    27→  { symbol: 'ICICIBANK', name: 'ICICI Bank', sector: 'Banking', category: 'NIFTY50' },
    28→    28→  { symbol: 'HINDUNILVR', name: 'Hindustan Unilever', sector: 'FMCG', category: 'NIFTY50' },
    29→    29→  { symbol: 'SBIN', name: 'State Bank of India', sector: 'Banking', category: 'NIFTY50' },
    30→    30→  { symbol: 'BHARTIARTL', name: 'Bharti Airtel', sector: 'Telecom', category: 'NIFTY50' },
    31→    31→  { symbol: 'ITC', name: 'ITC Limited', sector: 'FMCG', category: 'NIFTY50' },
    32→    32→  { symbol: 'KOTAKBANK', name: 'Kotak Mahindra Bank', sector: 'Banking', category: 'NIFTY50' },
    33→    33→  { symbol: 'LT', name: 'Larsen & Toubro', sector: 'Infrastructure', category: 'NIFTY50' },
    34→    34→  { symbol: 'AXISBANK', name: 'Axis Bank', sector: 'Banking', category: 'NIFTY50' },
    35→    35→  { symbol: 'WIPRO', name: 'Wipro', sector: 'IT', category: 'NIFTY50' },
    36→    36→  { symbol: 'TATAMOTORS', name: 'Tata Motors', sector: 'Auto', category: 'NIFTY50' },
    37→    37→  { symbol: 'BAJFINANCE', name: 'Bajaj Finance', sector: 'Finance', category: 'NIFTY50' },
    38→    38→  { symbol: 'MARUTI', name: 'Maruti Suzuki', sector: 'Auto', category: 'NIFTY50' },
    39→    39→  { symbol: 'SUNPHARMA', name: 'Sun Pharma', sector: 'Pharma', category: 'NIFTY50' },
    40→    40→  { symbol: 'TATASTEEL', name: 'Tata Steel', sector: 'Metals', category: 'NIFTY50' },
    41→    41→  { symbol: 'ADANIENT', name: 'Adani Enterprises', sector: 'Conglomerate', category: 'NIFTY50' },
    42→    42→  { symbol: 'ASIANPAINT', name: 'Asian Paints', sector: 'Consumer', category: 'NIFTY50' },
    43→    43→  { symbol: 'HCLTECH', name: 'HCL Technologies', sector: 'IT', category: 'NIFTY50' },
    44→    44→  { symbol: 'BAJAJFINSV', name: 'Bajaj Finserv', sector: 'Finance', category: 'NIFTY50' },
